x,y
1952.25,0.0151049319
1952.5,0.0248372672
1952.75,0.014840079
1953,0.0221659845
1953.25,0.0215211835
1953.5,0.015925245
1953.75,0.0148007265
1954,0.0121913077
1954.25,0.0182928929
1954.5,0.0243729346
1954.75,0.0257567794
1955,0.0254240549
1955.25,0.0354531586
1955.5,0.0284446613
1955.75,0.0203354925
1956,0.0192916004
1956.25,0.0072753827
1956.5,0.000774889
1956.75,0.0006634742
1957,-0.002524166
1957.25,0.0020414294
1957.5,-0.004528257
1957.75,0.0034330491
1958,0.0067062341
1958.25,0.0061674996
1958.5,0.0059876886
1958.75,-0.004634328
1959,-0.007410006
1959.25,0.001385457
1959.5,0.0006501225
1959.75,0.0149907574
1960,0.0089026666
1960.25,0.0056602557
1960.5,0.0120616917
1960.75,0.0091629529
1961,0.0073829485
1961.25,-0.003554126
1961.5,-0.004495575
1961.75,-0.012315395
1962,-0.011200849
1962.25,-0.009844566
1962.5,0.002761635
1962.75,0.0042057374
1963,0.0031130157
1963.25,-0.000298435
1963.5,-0.00154003
1963.75,0.0009623816
1964,-0.001058968
1964.25,-0.000912569
1964.5,-0.00800674
1964.75,-0.003941868
1965,-0.012455699
1965.25,-0.002371225
1965.5,0.0019878291
1965.75,-0.00995908
1966,-0.004728496
1966.25,0.0071854526
1966.5,0.0000560508
1966.75,0.001898605
1967,-0.010737276
1967.25,-0.023425643
1967.5,-0.019135803
1967.75,-0.025908245
1968,-0.032898951
1968.25,-0.02311137
1968.5,-0.029626224
1968.75,-0.016472664
1969,-0.02756635
1969.25,-0.017392222
1969.5,-0.017255756
1969.75,-0.028779485
1970,-0.026353708
1970.25,-0.027292621
1970.5,-0.028819068
1970.75,-0.03416232
1971,-0.037240183
1971.25,-0.041561112
1971.5,-0.047686015
1971.75,-0.044583994
1972,-0.040991347
1972.25,-0.040207793
1972.5,-0.032912514
1972.75,-0.03080536
1973,-0.04568983
1973.25,-0.033972033
1973.5,-0.036238068
1973.75,-0.037330293
1974,-0.03794921
1974.25,-0.032289982
1974.5,-0.021419001
1974.75,-0.010585362
1975,-0.023405142
1975.25,-0.020508559
1975.5,-0.049451348
1975.75,-0.019641829
1976,-0.018217389
1976.25,-0.015043417
1976.5,-0.014390262
1976.75,-0.010812382
1977,-0.004682202
1977.25,0.0058407414
1977.5,0.0004551784
1977.75,-0.002822908
1978,0.0007117002
1978.25,-0.001199418
1978.5,0.0084441204
1978.75,0.0022501757
1979,0.003597466
1979.25,-0.002861431
1979.5,0.000890287
1979.75,0.0031711126
1980,0.0043024938
1980.25,0.0027006231
1980.5,-0.017109871
1980.75,-0.018384413
1981,-0.010449504
1981.25,-0.001770238
1981.5,-0.004139254
1981.75,-0.007546933
1982,-0.017891878
1982.25,-0.011754989
1982.5,-0.012212251
1982.75,-0.012116593
1983,-0.000063775
1983.25,-0.000335017
1983.5,0.0090776858
1983.75,0.0189488438
1984,0.0203712679
1984.25,0.0168623585
1984.5,0.0195663615
1984.75,0.0158011573
1985,0.0171738076
1985.25,0.0331353284
1985.5,0.0212983544
1985.75,0.0380071635
1986,0.0264690807
1986.25,0.0208200767
1986.5,0.0161191498
1986.75,0.0257415882
1987,0.0204511343
1987.25,0.008310075
1987.5,0.0263567175
1987.75,0.0231658465
1988,0.0185447723
1988.25,0.0228703463
1988.5,0.0170534172
1988.75,0.0207166177
1989,0.0220446356
1989.25,0.0219163985
1989.5,0.027014473
1989.75,0.0257822142
1990,0.0199554069
1990.25,0.0230250315
1990.5,0.0172761858
1990.75,0.0265399573
1991,0.0225168835
