x,y
1963.5833333,100.81
1963.6666667,99.580118
1963.75,100.64562526
1963.8333333,98.753487508
1963.9166667,98.239969373
1964,98.24979337
1964.0833333,98.849117109
1964.1666667,98.354871524
1964.25,98.167997268
1964.3333333,100.6516476
1964.4166667,101.17503617
1964.5,101.97431895
1964.5833333,104.17696424
1964.6666667,105.1562277
1964.75,103.22135312
1964.8333333,103.8613255
1964.9166667,105.92816588
1965,105.89638743
1965.0833333,105.95992526
1965.1666667,105.86456133
1965.25,105.36699789
1965.3333333,104.9033831
1965.4166667,104.89289276
1965.5,104.97680708
1965.5833333,103.96902973
1965.6666667,101.95203055
1965.75,100.66743497
1965.8333333,98.915821601
1965.9166667,96.878155676
1966,96.771589705
1966.0833333,98.078006166
1966.1666667,96.410680061
1966.25,96.767399577
1966.3333333,95.702958182
1966.4166667,95.712528477
1966.5,94.401266837
1966.5833333,94.382386584
1966.6666667,91.550914986
1966.75,92.704456515
1966.8333333,94.688331885
1966.9166667,89.679319128
1967,89.015692166
1967.0833333,90.261911857
1967.1666667,92.626773947
1967.25,93.377050816
1967.3333333,94.973798385
1967.4166667,96.882771733
1967.5,95.303582554
1967.5833333,99.649425918
1967.6666667,101.91146789
1967.75,104.08218215
1967.8333333,104.04054928
1967.9166667,103.26024516
1968,103.46676565
1968.0833333,109.97482521
1968.1666667,112.31728899
1968.25,110.54267582
1968.3333333,110.73059837
1968.4166667,112.7348222
1968.5,120.50225145
1968.5833333,123.47865706
1968.6666667,123.66387505
1968.75,124.54188856
1968.8333333,128.55213737
1968.9166667,131.8559273
1969,133.24041454
1969.0833333,134.1597734
1969.1666667,133.7438781
1969.25,131.38998585
1969.3333333,130.75931391
1969.4166667,133.06067784
1969.5,131.31758296
1969.5833333,129.9518801
1969.6666667,128.24951047
1969.75,128.40340988
1969.8333333,129.9442508
1969.9166667,129.45046264
1970,130.18833028
1970.0833333,131.46417592
1970.1666667,134.89539091
1970.25,140.53401825
1970.3333333,142.4874411
1970.4166667,135.37731779
1970.5,141.32038204
1970.5833333,146.12527503
1970.6666667,144.53250954
1970.75,136.61212801
1970.8333333,142.52743316
1970.9166667,148.75588198
1971,157.75561284
1971.0833333,155.32617641
1971.1666667,154.89126311
1971.25,154.98419787
1971.3333333,154.56574054
1971.4166667,153.91656443
1971.5,156.30227118
1971.5833333,158.6780657
1971.6666667,158.61459447
1971.75,158.74148615
1971.8333333,160.07491463
1971.9166667,159.97886968
1972,164.74624
1972.0833333,157.77747405
